Country Name,Time,Country Code,"Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]",Adjusted savings: particulate emission damage (% of GNI) [NY.ADJ.DPEM.GN.ZS],"Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total) [SH.DTH.COMM.ZS]","Cause of death, by non-communicable diseases (% of total) [SH.DTH.NCOM.ZS]",Domestic general government health expenditure per capita (current US$) [SH.XPD.GHED.PC.CD],Individuals using the Internet (% of population) [IT.NET.USER.ZS],Lifetime risk of maternal death (%) [SH.MMR.RISK.ZS],Lifetime risk of maternal death (1 in: rate varies by country) [SH.MMR.RISK],"Maternal mortality ratio (modeled estimate, per 100,000 live births) [SH.STA.MMRT]","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%) [SH.DYN.NCOM.FE.ZS]","Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population) [SH.STA.AIRP.P5]","Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population) [SH.STA.AIRP.FE.P5]","Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population) [SH.STA.AIRP.MA.P5]","Mortality rate attributed to unintentional poisoning, female (per 100,000 female population) [SH.STA.POIS.P5.FE]","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population) [SH.STA.WASH.P5]",People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],People using at least basic sanitation services (% of population) [SH.STA.BASS.ZS],"People using at least basic sanitation services, urban (% of urban population) [SH.STA.BASS.UR.ZS]",Prevalence of anemia among children (% of children under 5) [SH.ANM.CHLD.ZS]
Bangladesh,2016,BGD,66.00840498,0.570108502,18.824,25.6,66.9,5.503601551,18.02,0.429953378,230,186,20.4,149,137,161,0.2,11.9,96.88253034,47.00580284,49.99802191,40.3
Barbados,2016,BRB,100,0.252898597,10.732,13,82.8,533.9822998,79.54939789,0.046849621,2100,30,12.9,31.1,25,39,0.2,0.2,98.48444616,96.85555159,..,31.9
Belarus,2016,BLR,100,0.170118136,12.4,2.5,90.5,211.0795135,71.11304576,0.004468557,22400,3,13.8,60.7,40,94,1.1,0.1,96.47418366,97.77775129,98.20183515,25.4
Belgium,2016,BEL,100,0.053285461,10.8,7.9,85.7,3298.588623,86.51647666,0.009536222,10500,5,8.6,15.7,12,21,0.2,0.3,99.99999866,99.48605762,99.48612539,12.6
Belize,2016,BLZ,96.20459659,0.25746628,21.4,19.4,67.4,201.2610931,44.57574032,0.104718454,950,39,18.5,68.6,55,83,0.3,1,97.58453954,87.53477602,92.55036639,22.5
Benin,2016,BEN,16.44996667,1.121342384,37.027,54.1,35.7,6.243734837,11.99404791,2.124416888,47,408,19.3,205,193,219,2.7,59.7,66.32023997,16.35113779,26.50506959,62.1
Bermuda,2016,BMU,100,..,9.6,..,..,..,98,..,..,..,..,..,..,..,..,..,99.90314002,99.90314002,99.90314002,..
Bhutan,2016,BTN,99.71204641,0.749566662,17.625,20.9,68.6,67.54524231,41.77264453,0.425597732,230,193,24.9,124.5,130,120,0.5,3.9,97.20762543,68.28248382,72.68628733,43.5
Bolivia,2016,BOL,74.86946051,0.238136317,22.433,22.4,64.5,138.0803833,39.6975146,0.48331659,210,161,16.8,63.7,56,72,1.4,5.6,92.1768992,58.80000805,69.78606146,46.9
Bosnia and Herzegovina,2016,BIH,100,0.267191243,8.477,1.8,94.5,315.2027588,60.25653543,0.012457226,8000,10,12.9,79.8,62,101,0.4,0.1,96.1512618,95.33614877,98.86717837,28
Botswana,2016,BWA,23.98826924,0.167612078,25.943,46,45.7,257.197113,39.36299738,0.479710684,210,151,17.9,101.3,88,120,1.1,11.8,89.40444008,76.01730993,88.44734426,40.4
Brazil,2016,BRA,98.46712997,0.150349661,14.307,13.9,73.9,341.8146362,60.87254007,0.111558308,900,62,13.5,29.9,24,37,0.2,1,97.84798562,87.42636006,92.08271277,25.1
British Virgin Islands,2016,VGB,100,..,..,..,..,..,77.70142968,..,..,..,..,..,..,..,..,..,99.86438356,96.85797948,..,..
Brunei Darussalam,2016,BRN,100,0.046519781,15.882,7.8,84.8,652.296875,90,0.06090028,1600,31,14.8,13.3,11,15,0.2,0.1,99.90000909,..,..,16.1
Bulgaria,2016,BGR,100,0.222371625,9.1,2.2,95.2,309.6886597,59.82554766,0.014928748,6700,10,15.5,61.8,45,82,0.4,0.1,99.14817534,85.99330573,86.7803838,26.9
Burkina Faso,2016,BFA,8.41218731,1.688913404,38.92,56.3,32.7,16.41615677,13.96,1.829265196,55,331,21.2,206.2,194,223,2.6,49.6,48.26771688,19.12627904,40.13079418,86.2
Burundi,2016,BDI,2.213114749,1.269630768,40.278,55.8,32.1,5.377487659,5.173626777,3.137941556,32,558,22.7,179.9,173,187,3.7,65.4,60.20415203,45.85101926,41.90187139,47.3
Cabo Verde,2016,CPV,85.13048062,0.2304624,20.345,19.5,70.3,94.91269684,50.32281787,0.155770556,640,59,15.9,99.5,85,120,0.5,4.1,86.48798699,72.24600082,78.77972913,55.1
Cambodia,2016,KHM,70.29614408,0.570525361,23.291,25.6,64.4,16.93820763,32.39845171,0.488032498,200,168,19.1,149.8,140,164,0.5,6.5,76.94537425,56.60150096,94.42601124,54.4
Cameroon,2016,CMR,20.62002547,0.799976628,36.429,53.9,35.2,8.597993851,23.20297197,2.61579093,38,538,20.9,208.1,190,228,2.2,45.2,60.15572037,38.84740465,55.947277,62.5
Canada,2016,CAN,100,0.048742924,10.6,5.6,88.3,3338.797119,91.16,0.016605246,6000,10,8.1,7,5,9,0.3,0.4,99.41262381,99.32453042,99.44724438,9.4
Caribbean small states,2016,CSS,95.78385552,0.196470368,16.31807087,12.62291448,77.86732662,309.77345,52.95321095,0.183968101,540,89,16.63986668,42.29906069,34.89760209,50.53463832,0.265245603,0.915753071,94.44451256,88.9593256,..,30.59048699
Cayman Islands,2016,CYM,100,..,10.76127896,..,..,..,79,..,..,..,..,..,..,..,..,..,96.125,83.654025,83.654025,..
Central African Republic,2016,CAF,12.64236236,0.644965649,36.029,63.7,26,2.406303406,4,4.410273959,23,890,22.4,211.9,204,221,2.3,82.1,46.33375843,25.31967074,49.10019667,71.9
Central Europe and the Baltics,2016,CEB,100,0.129601433,10.09643778,4.021461373,91.53961003,613.553704,71.34198079,0.012683328,7900,9,12.77681701,42.03722197,29.93344319,57.5154395,0.229189591,0.177176424,99.54924249,94.37333284,96.78565715,26.4066168
Chad,2016,TCD,2.464962262,3.063018197,43.201,63.4,27.3,5.803085327,5,7.038785321,14,1140,23.7,280.1,262,301,2.4,101,38.85259078,8.583368588,30.35664353,73.3
Channel Islands,2016,CHI,..,..,10.044,..,..,..,..,..,..,..,..,..,..,..,..,..,94.15,98.5,..,..
Chile,2016,CHL,100,0.108220395,13.031,8.1,84.7,590.8116455,83.55858602,0.023301792,4300,13,10.1,25.3,19,33,0.1,0.2,99.62218018,100,100,20
China,2016,CHN,100,0.286573734,12.95,3.8,89.3,231.4363251,53.2,0.04802765,2100,29,14.1,112.7,100,126,1.6,0.6,92.30404657,83.23517302,90.01445503,21.4
Colombia,2016,COL,92.76199469,0.110377858,15.308,10.1,74.8,288.1964111,58.13649357,0.162509685,620,84,13.5,37,30,45,0.2,0.8,96.96180582,88.58699402,92.07851501,26.6
Comoros,2016,COM,71.08003294,0.848972505,32.852,47.4,41.7,8.626795769,7.938322771,1.252147097,80,279,21.2,172.4,154,192,1.9,50.7,80.1488535,35.8348916,45.23662961,48.1
"Congo, Dem. Rep.",2016,COD,0,1.706245127,42.278,61.7,28,2.600293398,6.20997406,3.028550436,33,481,19.2,163.9,166,160,2.5,59.8,42.97676739,20.42609827,23.3823009,63.2
"Congo, Rep.",2016,COG,22.19433743,0.673231722,33.933,55.5,34.6,23.85995865,8.121949323,1.846028943,54,397,17.4,130.7,138,122,1,38.7,72.18665642,19.54805317,26.41098997,64.3
Costa Rica,2016,CRI,98.45259369,0.097254466,14.512,6.4,83.3,650.017334,65.88044919,0.052628983,1900,28,9.4,23.3,18,29,0.1,0.9,99.69976372,97.54897669,98.22212254,28.7
Cote d'Ivoire,2016,CIV,36.7315406,0.87898204,36.225,52.4,37.2,17.18746758,41.20781493,3.030849852,33,636,30.1,269.1,259,279,2.8,47.2,72.76204674,31.34862262,45.57656155,73.4
Croatia,2016,HRV,100,0.118046857,9,2.3,92.4,695.9624634,72.69726967,0.009777822,10200,7,10.7,35.5,25,48,0.1,0.1,99.58675456,96.51257251,97.82970395,27.1
Cuba,2016,CUB,98.47164077,..,10.611,8.4,83.7,871.7944336,42.97867519,0.056661791,1800,37,13.8,49.5,42,58,0.5,1,95.32452339,92.81145886,92.21689641,29.3
Curacao,2016,CUW,100,..,11.2,..,..,..,61.85551074,..,..,..,..,..,..,..,..,..,99.49775185,98.95027512,..,..
Cyprus,2016,CYP,100,0.07625154,10.852,4.1,91.1,689.190918,75.9002054,0.009355125,10700,6,7.5,20.1,13,28,0.1,0.3,99.61319936,99.20413372,99.54946304,17.5
Czech Republic,2016,CZE,100,0.09221899,10.7,5.4,89.9,1082.120483,76.4811987,0.00602772,16600,4,10.2,29.6,21,40,0.2,0.2,99.88016949,99.13478358,99.09274194,25.8
Denmark,2016,DNK,100,0.061169299,10.8,6.5,89.7,4681.911621,96.96778525,0.006749066,14800,4,9.5,13.2,11,16,0.1,0.3,99.99999893,99.59722928,99.59718026,12.7
Djibouti,2016,DJI,23.86332293,0.43721235,22.432,45.2,44.4,36.74410248,13.13491511,0.701171773,140,246,18.2,159,143,177,1.8,31.3,75.60251275,62.34721196,74.95803689,42
Dominica,2016,DMA,100,..,..,..,..,269.4382935,67.03,..,..,..,..,..,..,..,..,..,..,..,..,32.5
Dominican Republic,2016,DOM,95.03713201,0.32257088,20.07,15.8,72.3,189.437088,63.87086474,0.246681985,410,94,16.5,43,36,50,0.4,2.2,96.5763681,83.53956123,86.15224001,28
Early-demographic dividend,2016,EAR,78.73738649,0.40603358,20.78695434,24.93965419,64.9343668,80.30875494,30.16674985,0.412535784,240,152,19.20934125,142.5589137,125.186413,160.8731013,1.365207617,13.46452836,90.1301808,64.43333667,77.6137,46.34119769
East Asia & Pacific,2016,EAS,94.97770386,0.20938454,14.02034078,9.031294116,83.92139293,435.7196113,53.18742089,0.127869741,780,71,14.44251577,105.0337654,90.17204402,121.9840137,1.116757035,2.069932991,92.35046586,82.75369631,88.54255933,25.79405337
East Asia & Pacific (excluding high income),2016,EAP,94.84739552,0.2919081,14.66625864,8.721649429,84.08003219,177.950602,48.72880783,0.140036536,710,75,15.4055401,114.5022089,98.80036774,132.3198646,1.206387197,2.225841464,91.59605002,80.91904268,88.38923297,26.63242163
East Asia & Pacific (IDA & IBRD countries),2016,TEA,95.31924098,0.2919081,14.67559937,8.70993801,84.08725497,177.9577921,48.72880783,0.13975445,720,74,15.37820524,113.3452305,98.0314046,130.4530995,1.198676568,2.236148945,91.55513862,80.90131463,88.37996965,26.57651148
Ecuador,2016,ECU,96.78349152,0.159530765,20.205,15.1,72.2,258.4050598,54.06292473,0.162803769,610,61,12.2,24.5,21,29,0.4,0.6,93.68204774,87.17655336,90.56502144,27.7
"Egypt, Arab Rep.",2016,EGY,100,0.67525448,27.677,10.2,84.1,46.76147079,41.24806709,0.142537776,700,38,23.8,108.9,90,130,0.2,2,99.03285678,94.07834373,98.1106816,31.7
El Salvador,2016,SLV,90.26413298,0.308230771,18.587,10.8,73.8,189.4038391,28.99707305,0.107071374,930,47,13.1,41.9,35,51,0.1,2,97.06385625,87.22763606,90.91727472,30.6
Equatorial Guinea,2016,GNQ,6.046152378,0.460498834,34.234,53.4,35.9,63.86697388,23.77999997,1.5279493,65,301,21.3,177.7,174,181,1.5,22.3,64.42551872,66.24854149,69.89879365,64
Eritrea,2016,ERI,28.50449718,..,31.521,42.9,45.2,8.733866692,1.17711872,2.282852226,44,498,22.7,173.7,150,201,2.7,45.6,51.84971842,11.93996619,21.99299713,56.6
Estonia,2016,EST,100,0.068096256,10.7,2.8,92.7,893.9533081,87.24023275,0.017563075,5700,11,10.3,25,17,36,0.2,0.1,99.71165403,99.13973696,99.04753322,26
Eswatini,2016,SWZ,63.73798484,0.681852816,27.176,53.7,36.7,80.86003113,28.57352278,1.40440732,71,436,24.4,137,124,157,3.4,27.9,68.94829243,58.36818914,50.89582469,42
Ethiopia,2016,ETH,32.36383552,0.472535109,33.207,49,39.3,6.341966152,15.36692386,1.948303083,51,422,18,144.4,132,158,2.2,43.7,40.04142321,7.090740001,19.38640604,50
Euro area,2016,EMU,100,0.059154914,9.689279771,5.422158354,90.04816839,2861.612518,77.98945493,0.008071372,12400,5,7.897039668,14.25291562,10.34785501,19.01632642,0.290047008,0.289158374,99.80971241,98.85027353,98.9217175,13.44376043
Europe & Central Asia,2016,ECS,99.99894243,0.083889304,12.33331962,5.266375883,89.36690704,1624.96048,72.44627768,0.024016537,4200,13,11.69821642,36.32911565,26.23830384,49.59517997,0.438337308,0.303721904,98.17590541,96.47989259,97.94811488,22.1681248
Europe & Central Asia (excluding high income),2016,ECA,99.9980271,0.217015418,15.02360931,4.946082404,88.64843286,225.9558791,62.51793421,0.040507339,2500,20,15.48991873,60.08407796,42.8821947,83.4881727,0.653166208,0.366263817,96.19148028,93.6165078,96.64015879,28.27786596
Europe & Central Asia (IDA & IBRD countries),2016,TEC,99.99824355,0.204827429,14.55798496,4.921673061,88.8265645,258.5272422,63.51476431,0.037345005,2700,18,15.16856845,58.00125701,41.3216534,80.57669907,0.610606506,0.341529854,96.48989492,94.04207896,96.7717155,28.16207176
European Union,2016,EUU,100,..,9.839690004,5.111679561,90.43348121,2331.866426,79.23845795,0.008942905,11200,6,8.969853119,19.95613518,14.44239397,26.7749295,0.274031366,0.267210037,99.78100296,97.91397392,98.54777366,15.94498101
Faroe Islands,2016,FRO,100,..,13.6,..,..,..,95.10868167,..,..,..,..,..,..,..,..,..,100,..,..,..
Fiji,2016,FJI,93.36748117,0.553193413,21.799,10.1,84.4,114.9676056,46.50697831,0.103232734,970,34,24,99,70,131,0.2,2.9,93.7446242,95.06922889,95.32935799,37.5
Finland,2016,FIN,100,0.02764368,9.6,1.3,93.2,3133.27124,87.70364996,0.005530602,18100,3,7.2,7.2,5,10,0.2,0.1,100.0000022,99.44785618,99.44700461,12.6
Fragile and conflict affected situations,2016,FCS,34.24439024,0.809764554,34.48052574,50.36225975,37.72705121,19.27138402,17.13823905,2.805633166,36,592,21.77760578,201.665981,194.9290898,209.247061,2.054728073,43.15532617,66.7977734,44.03474131,54.52821359,60.88942384
France,2016,FRA,100,0.041564176,11.8,6,87.6,3272.472656,79.26981132,0.014834282,6700,8,7.2,9.7,7,13,0.6,0.3,100.0000015,98.65080612,98.59013092,12.9
French Polynesia,2016,PYF,100,..,15.209,..,..,..,68.44041949,..,..,..,..,..,..,..,..,..,100,96.85461383,..,..
Gabon,2016,GAB,44.4031371,0.203239923,32.604,49.9,41,142.3211517,48.05227375,1.095333321,91,256,13.9,76,73,79,0.8,20.6,85.62704687,47.36637167,48.65327072,62.5
"Gambia, The",2016,GMB,23.2735931,1.239034979,39.363,54.8,34.3,4.30568552,18.5,3.286805334,30,611,18.9,237,220,254,1.5,29.7,77.82723767,39.12299713,45.48860678,75.7
Georgia,2016,GEO,100,0.516222613,13.925,2.7,93.7,113.0216446,58.45928961,0.053827385,1900,26,15.9,101.8,73,140,0.5,0.2,98.17054967,90.25437442,95.15806545,23.6
Germany,2016,DEU,100,0.078089644,9.6,4.8,91.2,3656.886475,84.16520664,0.007432008,13500,5,8.9,16,12,21,0.2,0.6,100,99.22492593,99.29364279,12.4
Ghana,2016,GHA,66.59609202,0.694950574,30.28,47.5,42.7,25.89339638,34.66600065,1.25968423,79,314,23.2,203.8,204,203,1.3,18.8,80.43577313,17.80599013,23.1060847,66.9
Gibraltar,2016,GIB,100,..,..,..,..,..,94.44447158,..,..,..,..,..,..,..,..,..,100,100,100,..
Greece,2016,GRC,100,0.095356816,8.6,10.9,86.2,906.3599854,69.08791547,0.003932806,25400,3,7.7,27.6,20,36,0.1,0.1,99.99999782,98.97959928,99.2097985,13.9
Greenland,2016,GRL,100,..,14.8,..,..,..,68.50087368,..,..,..,..,..,..,..,..,..,99.99999915,99.59723483,99.59718026,..
Grenada,2016,GRD,94.46616359,..,16.905,11.9,81.3,214.0135498,55.85640782,0.058087644,1700,25,17.3,45.3,39,52,0.3,0.3,95.62865044,91.49389213,..,34
Guam,2016,GUM,100,..,16.854,..,..,..,77.00999989,..,..,..,..,..,..,..,..,..,99.6952,90.35076551,..,..
Guatemala,2016,GTM,86.94148677,0.481151382,25.267,25.1,59.2,90.58852386,34.50932609,0.320602352,310,98,15,73.8,68,81,0.8,6.3,93.72089205,65.02274536,79.37134783,36.5
Guinea,2016,GIN,6.742915823,0.912831481,37.171,55.7,35.1,4.606952667,9.8,3.143498455,32,621,22.9,243.3,237,249,2.1,44.6,62.10819007,21.88899337,33.01481021,74.4
Guinea-Bissau,2016,GNB,8.381547008,1.075643648,36.265,62.1,30,3.764195919,3.761413832,3.277432033,31,679,19.9,214.7,206,225,1.5,35.3,66.508234,20.41955111,36.94176651,68.1
Guyana,2016,GUY,87.30771019,0.301404158,20.427,20,67.6,146.7705841,35.66,0.451284442,220,170,28.8,107.8,98,117,0.7,3.6,95.53635141,85.75872346,91.51075875,37.9
Haiti,2016,HTI,0,1.405839857,25.162,30.3,57.1,6.511879921,12.23260161,1.542444699,65,489,25,184.3,172,198,2.2,23.8,65.0230173,33.59935076,42.74331145,58.2
Heavily indebted poor countries (HIPC),2016,HPC,23.90847972,0.944591891,36.19633514,52.91210918,35.9038349,14.89277454,15.3506985,2.414848556,41,477,20.51350108,173.3144633,165.7958588,181.4938438,2.246584054,41.11049347,56.58481564,26.02031324,40.30222441,59.64204772
High income,2016,HIC,99.94729528,0.08699013,10.84859469,6.691179656,87.76679127,4140.554616,84.16797688,0.01813196,5500,11,9.137262307,17.83632283,12.94743532,23.48340319,0.415313423,0.297733887,99.48329004,99.33769976,99.30870273,14.28196091
Honduras,2016,HND,82.12668399,0.375669074,22.13,14,66.5,80.48381042,29.5,0.183041318,550,65,12.1,60.7,48,76,0.2,3.6,94.28603174,80.24248182,84.81018499,31.4
"Hong Kong SAR, China",2016,HKG,100,..,8.3,..,..,..,87.47941467,..,..,..,..,..,..,..,..,..,100,96.4622449,96.4622449,..
Hungary,2016,HUN,100,0.159081378,9.7,1.8,93.8,619.010376,79.25941213,0.016273897,6100,12,15.6,38.8,28,53,0.1,0.2,99.97080746,97.99318159,97.75510204,26.6
IBRD only,2016,IBD,92.18910955,0.302059277,16.64900474,14.1724543,76.97201611,157.4877595,43.91361957,0.199195621,500,92,16.17164421,114.419752,98.51501587,131.7483613,1.171034765,6.808392695,93.12378367,76.93029901,86.84228598,36.4887398
Iceland,2016,ISL,100,0.048302887,12,4.4,89.8,4127.349121,98.2400163,0.008098624,12300,4,8.2,8.7,7,11,0.1,0.1,99.99999885,98.7826612,98.7012987,12.4
IDA & IBRD total,2016,IBT,76.00155593,0.349982852,20.46046922,22.98718758,67.80701538,122.6607796,37.5202087,0.630505905,160,234,17.0598131,130.873315,116.5973622,146.4110082,1.396597925,13.82124085,87.33425161,67.63584981,80.47148901,44.47397362
IDA blend,2016,IDB,49.37344928,1.132974324,32.41475556,50.07895812,41.69407552,17.80173522,20.80293408,2.258539284,44,515,21.70988049,204.6967343,194.2337647,215.0815528,2.573796639,39.61353149,77.95396547,48.84642879,60.71462137,59.48385664
IDA only,2016,IDX,37.07503844,0.832976956,31.56484798,45.80082766,42.90839833,12.60399774,16.93567254,1.795100285,56,422,20.70676722,167.4889902,157.8882193,178.1169039,1.80643125,32.33930246,65.93314523,35.19336538,47.2236512,56.96643119
IDA total,2016,IDA,40.90378604,0.982365757,31.85278791,47.35983374,42.46588339,14.4490756,18.24760825,1.951454957,51,454,21.04626036,180.1092052,170.0701778,190.8024153,2.063629572,34.80659352,70.0102174,39.82404147,52.47987409,57.82672467
India,2016,IND,85.21428423,0.809905481,18.332,26,62.7,16.26901245,22,0.36466998,270,150,19.8,184.3,166,202,1.9,18.6,91.85927535,56.94165514,70.63888646,57.3
Indonesia,2016,IDN,94.93940346,0.375064605,18.79,20.7,73.3,49.89876556,25.4473537,0.440175094,230,184,22.6,112.4,94,134,0.2,7.1,88.65653398,71.25313269,79.16165629,36.8
"Iran, Islamic Rep.",2016,IRN,100,0.128037304,19.102,7.9,81.9,229.8636627,53.22677167,0.037915801,2600,16,13.7,50.9,46,56,0.8,1,95.20149447,88.35525906,91.7399848,28.2
Iraq,2016,IRQ,99.95402873,0.236956329,30.388,16.8,54.7,32.1986618,21.23,0.319300416,310,78,18.3,75.1,64,88,0.4,3,95.61297327,92.42690665,95.26117598,24.1
Ireland,2016,IRL,100,0.041368737,13.4,5.1,90.6,3421.731934,85.01113212,0.011352643,8800,6,8.7,11.9,9,15,0.1,0.1,97.38347739,91.14664278,89.36827271,12.5
Isle of Man,2016,IMN,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.075,..,..,..
Israel,2016,ISR,100,0.080798825,21.2,10,85.8,1814.676025,79.65312418,0.010853931,9200,3,7.5,15.4,11,21,0.1,0.2,99.99999925,99.99999925,100,13.4
Italy,2016,ITA,100,0.05827582,7.8,4.9,91.4,2041.945313,61.32425277,0.002177243,45900,2,7.2,15,11,20,0.3,0.1,99.44249434,98.7718902,98.82847604,13.3
Jamaica,2016,JAM,96.61915631,0.255900614,16.46,11.2,80,179.3983307,44.36685637,0.166932378,600,80,13.4,25.4,21,30,0.2,0.6,90.61791998,87.32379504,85.52851547,27.7
Japan,2016,JPN,100,0.077786862,7.8,12.7,82.4,3508.4729,93.18272128,0.006098915,16400,5,5.7,11.9,8,17,0.3,0.2,98.97,99.90241732,..,13.2
Jordan,2016,JOR,100,0.173104467,23.396,10.7,78.4,146.5031891,62.30219257,0.144812194,690,47,15.6,51.2,39,65,0.8,0.6,98.97105489,97.43348058,97.5429218,31.1
Kazakhstan,2016,KAZ,100,0.139559781,22.52,4.5,86,157.1102753,74.58772647,0.030953084,3200,10,18.5,62.7,47,86,1.3,0.4,95.04380828,97.80581741,97.0078634,29.3
Kenya,2016,KEN,61.09008732,0.487850983,29.943,63.3,27.1,31.42089081,16.6,1.362635945,73,346,13,78.1,75,81,1.1,51.2,58.28035419,29.29678479,34.76953417,41.1
Kiribati,2016,KIR,99.24165791,..,28.663,28.7,64.4,115.624588,13.7,0.350118875,290,94,22.9,140.2,107,187,2,16.7,70.34607127,46.58968114,..,39.1
"Korea, Dem. People's Rep.",2016,PRK,49.30359642,..,13.916,9.5,83.6,..,..,0.162712971,610,90,17.6,207.2,158,288,1.8,1.4,94.86210128,82.40860715,89.04658957,31.3
"Korea, Rep.",2016,KOR,100,0.095347603,7.9,10.1,79.8,1174.702759,92.84302568,0.012549583,8000,11,4.7,20.5,14,29,0.3,1.8,99.67540217,100,..,12.3
Kosovo,2016,XKX,100,..,16.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
