idAmazon,title,description,manufacturer,price
b000qfqa1w,encyclopedia britannica deluxe 2008 win/mac,designed for adults and students alike encyclopaedia britannica deluxe is a comprehensive reference resource that gives you up-to-date in-depth and easy-to-use information. learn from nobel laureates historians and noted experts in one fun and single source. no other software can match the intelligence depth and accuracy of encyclopaedia britannica deluxe. your comprehensive reference resource 81 000+ articles included thousands of images photos video and more insightful biographies of great minds easy & trusted companion to online research designed for adults and students alike encyclopaedia britannica deluxe dvd is a comprehensive reference resource that gives you up-to-date in-depth and easy-to-use information. learn from nobel laureates historians and other noted experts in a fun and single source. no other software can match the intelligence depth and accuracy of encyclopaedia britannica deluxe. thousands of articles magazine and online links jumpstart your research with over 81 000 articles and more than 166 000 magazine and online links. extensive reference library and rich multimedia expand your search with merriam webster's dictionary & thesaurus world atlas britannica brainstormer britannica classics timelines thousands of images photos video and more. new! britannica workspace for easy research organization stay organized at all times! with workspace you can save articles images video and more in one convenient location. explore interactive & exciting tours take an exhilarating ride through videos world statistics classical music and more. new! britannica biographies: thousands of great minds get insightful biographies of 2 000 great minds: astronomers mathematicians scientists and others who shaped the world. virtual notecards save notes from your articles on a virtual notecard. notes are printable which makes your research easier and portable. new! free britannica online 6-month subscription--$35 value get free access to britannica online newsfeeds additional audio and video newsletters discounts to the britannica store and more. britannica even offers free monthly content updates for one year feature comparison feature encyclopaedia britannica deluxe encyclopaedia britannica ultimate reference suite encyclopedias 1 3 articles 81 000+ 100 000+ magazine and online links 166 000+ 166 000+ images and illustrations 17 000+ 20 000+ video clips 400+ 400+ audio clips x x world atlas & timelines x x merriam webster's dictionary & thesaurus x x homework tools homework helpdesk book of the year articles x x britannica brainstormer & britannica classics x x free content updates x x online videos x x virtual notecards x x explore interactive & exciting tours x x britannica workspace x x britannica biographies x x free! online subscription $35 value $70 value,avanquest,29.95
b000ar96bm,digital vault,with digital vault you have the safety and secuirty you need for more confident web surfing. don't worry about snoopers or identity thieves taking your personal information -- this software will have it under lock and key.,stompsoft inc.,29.99
b0008glghc,apple garageband jam pack: remix tools,with apple's garageband jam pack: remix tools you can create your own club grooves. this complete set of beats bass lines synth hooks and keyboard riffs is perfect for creating the sounds that get butts shaking on the dance floor. whether you're into hip-hop or house r&b or trance jam pack: remix tools gives you everything you need to create songs that make people move.,apple,99
b000j00xeo,intervideo dvd copy 5 express,dvd copy 5 express gives you fast dvd-copying and file-conversion software. in just three steps you'll copy videos to most popular formats and now directly to your psp or ipod. make 1:1 copies of your favorite films in no time at all. copying movies has never been more simple!,corel,29.99
b000ndibws,adobe creative suite cs3 web premium upsell [mac],note: this is the upsell version of adobe creative suite 3 web premium. adobe creative suite 3 web premium upsell software is a complete solution for creating interactive websites applications user interfaces presentations mobile device content and other digital experiences. get everything you need to prototype your project design assets build web experiences and efficiently maintain and update content. photoshop cs3 extended for specialized image editing illustrator cs3 for vector graphics creation flash cs3 professional for interactive design dreamweaver cs3 for web design and development acrobat 8 professional for adobe pdf workflows build your prototype with adobe fireworks cs3 redefine the extraordinary in web design and development get the essential tools finally all your favorite tools are in one solution. design core assets and build your prototype with adobe photoshop cs3 extended adobe illustrator cs3 and adobe fireworks cs3 software. then bring your project to life with adobe dreamweaver cs3 and adobe flash cs3 professional the industry-leading web design and development tools. use adobe acrobat 8 professional software to quickly share design ideas and collect feedback from colleagues and clients and easily maintain the final project with adobe contribute cs3. creative suite 3 web premium is everything you need all in one place. discover intelligent integration return to your creative roots with intelligent integration that allows you to forget the tools and focus on the project. import files directly from illustrator cs3 to flash cs3 or cut and paste files from photoshop cs3 into dreamweaver cs3. take advantage of improved css workflow between dreamweaver and fireworks and improved rendering compatibility between dreamweaver and contribute. organize your assets with adobe bridge cs3 and coordinate your team with adobe version cue cs3. enjoy the latest workflows never before have there been so many opportunities for designers and developers to refine their current skill set while expanding into exciting new techniques and technologies. immerse yourself in online video creation with sophisticated web video tools. follow best practices with new css tools. explore the possibilities in mobile content authoring. expand into development with the spry framework for ajax and new flash actionscript 3.0 language. with creative suite 3 web premium the future is yours. visually manage assets in adobe bridge test mobile designs in adobe device central coordinate with team members using adobe version cue host real-time web-based meetings with adobe acrobat connect top new features of adobe creative suite 3 web premium powerful integration fluidly move assets across adobe photoshop cs3 extended adobe illustrator cs3 adobe flash cs3 professional adobe dreamweaver cs3 and adobe fireworks cs3 software. use adobe version cue cs3 adobe bridge cs3 and adobe stock photos to manage assets. prepare content for mobile devices with adobe device central cs3. more expressive interactive design explore new dimensions in digital design with new features in flash cs3 such as the pen tool shape primitives new filter effects and advanced video support. all these come alongside renowned interactive video animation and graphics capability plus high-quality text rendering. unrivaled image editing power perfect your images with new capabilities in adobe photoshop cs3 extended designed specifically for web professionals including features such as 3d editing animation support a new timeline and more. powerful flexible graphic design create editable and scalable vector artwork for web mobile and interactive design. adobe illustrator cs3 now features improved drawing performance and tools to help you apply and experiment with color. rapid prototyping use fireworks cs3 to rapidly prototype web designs. leverage a common library of prebuilt graphic symbols with customizable properties. move designs to flash cs3 professional and dreamweaver cs3 or leverage an extensible api to integrate with adobe flex software. emerging technologies prepare for the next generation of web technology while applying best practices. develop dynamic user interfaces with css and ajax add flash video and incorporate new standards-based user elements. mobile content authoring use adobe device central cs3 to design develop preview and test content for a wide range of mobile and consumer devices. easily show your work in numerous mobile device skins through built-in and regularly updated device profiles. browser and platform compatibility ensure your experience is consistent across operating systems browsers and platforms using the new browser compatibility check in dreamweaver cs3 and the adobe css advisor website an invaluable source of user-contributed solutions to css issues. macintosh or windows pick your platform. adobe creative suite 3 web premium software is available for mac os--including intel based macintosh computers--windows xp and windows vista. design in your preferred platform and then deliver across platforms with consistent results. easy web maintenance free yourself from simple web edits. with contribute cs3 enable individuals or workgroups to quickly and easily edit and publish content to websites and blogs from a controlled permissions-based application or from within microsoft applications. additional features best of the best get the newest versions of the award-winning tools integrated workflows and valuable utilities used to prototype design develop and maintain websites applications interactive experiences and mobile device content. flash video create and edit streaming and progressive flash video--and deploy progressive flash video--with comprehensive video support including a standalone video encoder alpha channel support a high-quality video codec embedded cue points video import support quicktime import closed-captioning and more. engaging interactivity incorporate rich interactivity into your projects. whether it's ajax interactivity in web page elements streaming interactive broadcasts or an interactive multi-user collaboration application adobe creative suite 3 web premium software has everything you need to draft and deploy your interactive vision on the web. latest technologies and standards keep pace with evolving technologies and standards. design with html and css; integrate with development technologies like xhtml xml adobe coldfusion asp asp.net jsp and php; test content across browsers and operating systems; and prepare for the new internet protocol version 6 (ipv6). actionscript 3.0 development go farther with actionscript 3.0 the high-performance object-oriented programming language for adobe flash player. explore a whole new world of customization using the rich language api libraries and expansive community support services. best practices easily apply best practices of web design and development. create consistent css-based designs with css layout and visualization tools. drag and drop an xml feed onto a web page. use the industry's first integrated tool for section 508 and wcag priority 2 checkpoints. reliability and innovation whether you're adding interactive video migrating to css conforming to accessibility regulations preparing for ipv6 conversion or experimenting with mobile content creative suite 3 web premium lets you work well today and grow for tomorrow. adobe creative suite 3: what's in each edition? adobe creative suite 3 editions design premium design standard web premium web standard production premium master collection adobe photoshop cs3 extended adobe photoshop cs3 adobe illustrator cs3 adobe indesign cs3 adobe acrobat 8 professional adobe flash cs3 professional adobe dreamweaver cs3 adobe contribute cs3 adobe fireworks cs3 adobe after effects cs3 professional adobe premiere pro cs3 adobe soundbooth cs3 adobe encore cs3 adobe onlocation * adobe ultra cs3 * additional features and services in adobe creative suite 3 adobe bridge cs3 adobe version cue cs3 adobe device central cs3 adobe dynamic link adobe stock photos adobe acrobat connect * adobe ultra runs on microsoft windows only. for macintosh users adobe onlocation requires bootcamp and windows (purchased separately) or a separate windows-based computer.,adobe,1399
b00006sijr,punch! home design architectura series 18,the big story is flexibility and ease of use. architectural series 18 provides innovative new tools to unleash your design creativity. explore new tools for creating complex objects from simple ones presentation tools for final prints and even special tools for easily changing the design in 3d. novice or pro architectural series 18 is easy to use! a single easy-to-use interface puts powerful tools at your fingertips; you can use as many or a few as you choose and still get professional results. beginners will appreciate the video tooltips tutorials that teach you as you draw and simple drag & drop functions for windows doors furniture texture color and landscaping. professionals will appreciate the more complex features such as extensive framing and estimating mechanical design and cad functions to name a few. architectural series 18 was designed to grow with you as you become more proficient with the program. regardless of your expertise architectural series 18 makes home design an enjoyable experience.,punch! software,129.99
b000gcbov6,the movies (mac),the movies answers a question that many of us have had: what if you were in charge of a movie studio? imagine if you could make any movie you wanted any way you wanted. would you create epic action films? campy b-movies? you can make it big in hollywood by building the ultimate movie studio. choose the scripts control budgets design & build sets and settle into the director's chair and see if you can make a hit. once you've created your box-office smashes you can even watch them -- adding your own voiceovers and saving them to your hard drive or publishing to a web site.,feral interactive,49.95
b000lrdlia,star wars empire at war (intel only macs),star wars: empire at war lets players rewrite history while they experience the aftermath of revenge of the sith. set a few years before the events of a new hope the game chronicles the start of the rebel alliance & darth vader's rise to power. visit worlds like hoth tatooine and dagobah -- as well as never-before-seen environments taken directly from the star wars films and expanded universe novels. choose to join either the rebel alliance or the galactic empire and unleash your tactical skills on your enemy in real-time 3d. all of the gameplay and action within star wars empire at war is persistent; strategic and tactical decisions from previous events will have a permanent effect on the galaxy. deploy more than 20 ground-and air-based vehicles - from giant star destroyers and mon calamari cruisers to speeder-bikes and x-wings access multiple ground troops from stormtroopers & rebel soldiers to powerful heroes like obi-wan and darth vader multiplayer action including 2-player campaign mode and up to 8-player online skirmishes,aspyr media,49.99
b000byr41s,macbackup,macbackup protects your computer from disaster. the software quickly restores your computer to its original backed up state. a step-by-step wizard makes backup simple for savinf priceless digital photos music investment and any other personal information. macbackup allows you to easily backup to any recordable cd/dvd local or alternative hard drive network location or ftp site using compression methods to maximize your storage space.,macware,29.99
b000nkj29c,finale allegro 2007,finale allegro 2007 is the perfect tool for anyone who wants to do more with music. enter notes with your mouse computer keyboard and/or midi keyboard (including sustain pedal) in step- or real-time. scan sheet music with smartscore lite (included) and import or export midi files with a click. automatically add two- and three-voice auto-harmonization from band-in-a-box auto harmonizing. quickstart videos and setup wizard get you started right away making it the perfect tool for educators performing musicians composers arrangers worship directors and students. allegro files can be opened edited printed and played by others using finale notepad songwriter printmusic and finale save save as multiple audio files (including mp3) to create cds export tif graphics files to add music to word processing documents,finale,199.95
b000ik414i,efrontier anime studio pro (win/mac),efrontier's anime studio pro 5 is a complete animation program for creating movies cartoons anime or cut animations. create your own desktop animated shorts in the style of south park and jibjab or use anime studio pro 5 to produce full-length animation for film video or streaming over the web. it's easy to quickly create camera movements and characters. easily create characters and objects. use layering behaviors that are similar to other design programs. a wealth of tools at your fingertips. using keyframes and a timeline test your animations as you design. bone-rigging uses spring-like simulation to calculate dynamic character movement. vector-based tools make quick designs easy. give your characters a voice with papagayo lip-synching software. create sophisticated special effects. anime studio pro 5 allows digital enthusiasts at home to bring their imaginations to life. the program is fun to use quick to learn and easy on your pocketbook. it is an ideal solution for first time animators hobbyists and digital enthusiasts. draw original art import your digital pictures dub and add subtitles to existing videos or choose from many built-in characters to grease your animation wheels and get a feel for the software's capabilities. this program includes everything aspiring artists need to create top quality animations from start to finish -- it simplifies the animation process and empowers artists to create their projects faster and easier than ever before. you'll be surprised by how quickly you can get started. packed with ready-to-use anime style characters you can create your own animations right out of the box. tutorials and sample files show you how to maximize anime studio pro's powerful features giving you the jump start you'll need to begin your first project. once you feel at home with the mechanics of the software you'll be ready to move on to your own art. sketch your original characters and backdrops scan in and import graphics or if you use a pen tablet you can recreate the sensation of drawing on paper. built with vector graphics anime studio pro 5 provides power and flexibility with multiple layering and the capacity to resize images without sacrificing quality. another powerful element of anime studio pro 5 is the use of bones. using the software's bone rigging system you can add a skeleton to any image to bring it to life. with anime studio pro 5 there is no need to create new art for each individual frame as you animate -- just adjust the bones to your desired position and the program will generate the movement for you. you can also count on anime studio pro 5 to help direct your animated action with an intuitive timeline. setting your movements to a timeline makes scene changes feel seamless and natural so the plot of your animated short is easier to follow. no animation is complete without an audio soundtrack. anime studio pro 5 helps you add emotion and style to your animations by adding sound in wav and aiff formats. and once you've completed a project you can publish your results for a variety of media including video tv and web formats. design and layout anime studio pro 5 gives you total control over your canvas and makes it easy for you to organize and complete your project using layers. with this intuitive software under your belt you can set up your 2d canvas to the exact dimensions you want. and with anime studio pro you can even turn your canvas into a 3d stage with x y and z coordinates to easily produce your animation with added depth and dimension. using anime studio pro's vector-based graphics you can freely adjust canvas resolution and size without losing image quality. if you're already accustomed to other graphics-driven programs such as photoshop or quark you'll be pleased with anime studio pro's familiar layer-based workflow. it is an easy and efficient way to organize your assets and create your animation and you'll save time by reusing your art. simply create an asset once and place it on a layer then refer to that layer any time you need to reuse a piece of art. advanced layer features include switch layers which allows you to rotate among all the layers in a set and shows only one layer a time. this saves you a great deal of time when animating body movements or facial expressions. use anime studio pro to rig your characters objects and scenes with the revolutionary bone system that makes the animation process easier than ever before. bones create a skeleton that determines joints or flex points in your artwork. you can then manipulate the bones to move the image into new positions without time-consuming redraws. simple tools let you design dynamic character movement. stop thinking of your drawings as fixed static images -- with anime studio pro you drawings become like soft rubber with stiff wires inside that help you move and position the objects on the screen. bones are never displayed in the final render they're just used as a tool during the animation process. and to make the process smoother and easier to follow you can organize your project using keyframe animation and a timeline. then all you need to do is position your image on the canvas and manipulate the timeline. the software will interpolate the motion between positions for you to create a smooth-flowing graceful transition from one movement to the next. in anime studio pro you can also fine tune your animations with powerful timeline controls such as onion skins tweening and graph mode. and with the pro version you can create animations of any length. once you complete a project you can finish it for web tv film and still formats. with anime studio pro you can output your finished work to a variety of standard formats such as avi mov and flash (swf export for vector based animations). studio pro also makes it easy to transfer your work to other popular graphics programs to utilize assets for other projects or to add color to your art. pro exports to jpg bmp png an tga file formats and even allows you to export your artwork as layered psd files. animation techniques traditional animation was created by drawing frames one after another each frame drawn slightly different from the last. anime studio pro helps you simulate frame-by-frame animation yet drastically reduces the time required from traditional animation. designed to mimic real skeletal structure the anime studio pro bones are interdependent so when you adjust one bone all the other connected bones will move in response. the bone-rigging feature also uses spring-like simulation to calculate dynamic bone movement. this makes a wide range of movements seem real such as jumping waving flabby body parts and bouncing hair. you can also take advantage of anime studio pro's switch layers function to work with a combination of connected movements that occur along a timeline. this is particularly valuable for animating body movements or facial expressions such as lip-synch animations when each graphical layer can be a mouth shape for a different sound. an additional animation feature includes cycling keyframe interpolation which will automatically cycle a section of animation and repeat it over again as many times as you wish. another feature includes onion skins that show the position of objects in your scene at a given point in time -- just click on any point in the timeline to see the onion skins in anime studio pro. in anime studio pro you can use actions -- little clips of animation that are associated with a layer or group of layers -- to create reusable animations for movements that you expect to use repeatedly. tweening adjusts the pace of movements within a given action so you can slow it down or speed it up. and pro's graph mode allows you to inspect an animation curve plotted as values on a graph. this helps evaluate acceleration changes in direction and other properties of motion. anime studio pro includes over 200 sample files and is filled with content that includes the standard anime studio content files such as anime characters aya and winsor backgrounds animation other characters scenery and props. anime studio pro also includes extra samples such as 3d animals 3d movies and samples provided by users that serve as great starting points.,efrontier,199.99
b000fer1cq,phase one capture one le,capture one le is the affordable way to get into professional raw shooting. when you start shooting raw you get better image quality and a more customized workflow. with capture one le you will quickly see gain those benefits of working raw files. renowned for its excellent image quality and efficient workflow tools and easily upgradeable to the more powerful pro edition - this is the software you need for superior digital photography.,phase one,0
b00094oszk,microspot x-rip (mac),,microspot ltd,349.99
b000qeitty,videostudio 11 plus,the ulead videostudio plus is video editing and dvd authoring software for anyone who wants to easily produce professional-looking videos slideshows and dvds. enjoy unique and powerful features including full hd dvd authoring avchd support dolby digital 5.1 surround sound and a full set of easy corrective and creative filters.,corel,0
b000bb7fjw,web graphics creator,,sos aggregation company,39.95
b000jiojvo,exchange svr ent 2007 x64 eng dvd 25 clt,- marketing information: for most businesses today e-mail is the mission-critical communications tool that allows their people to produce the best results. this greater reliance on e-mail has increased the number of messages sent and received the variety of work getting done and even the speed of business itself. amid this change employee expectations have also evolved. today employees look for rich efficient access to e-mail calendars attachments contacts and more no matter where they are or what type of device they are using. product information - software sub type: mail server - software name: exchange server 2007 enterprise edition - complete product - features and benefits: built-in protection: - anti-spam and antivirus - compliance - business continuity - confidential messaging anywhere access: - unified messaging - web-based messaging - mobile messaging - collaboration and productivity operational efficiency: - performance and scalability - administration - deployment - extensibility - language support: english - platform support: pc license information - license type: complete product - license pricing: standard - license quantity: 1 server - license quantity: 25 cal,microsoft,11318.25
b000h1df7w,dragon naturally speaking standard v9,dragon naturallyspeaking 9 (standard edition) gives small business users and pc enthusiasts the power to create documents reports e-mails and more -- all by speaking! over three times faster than typing and amazingly accurate naturallyspeaking 9 translates your voice dictations into microsoft word and excel corel wordperfect and virtually all windows-based applications. it's never been easier to use -- with no script reading required you can get started right away! naturallyspeaking 9 translates your voice dictations into microsoft word and excel corel wordperfect and virtually all windows-based applications. view larger. three times faster than typing a c/net editor's choice for february 2006 and a pc world 100 best products of 2006 dragon naturallyspeaking 9 is up to 99 percent accurate and often more accurate than typing. dragon naturallyspeaking never makes a spelling mistake and it's actually programmed to get smarter the more your use it. and because most people speak over 120 words per minute but type less than 40 words a minute naturallyspeaking lets you create letters and e-mails about three times faster than typing by hand. dragon naturallyspeaking 9 is extremely easy to use and require no training. a full set of new on-screen tutorials simplify the training process so you can be an expert dragon naturallyspeaking user right away. an included approved free noise-canceling microphone helps you get started immediately. and you can use your voice to dictate edit and control just about any windows-based application which gives you unprecedented flexibility as you work. it even supports mozilla firefox and thunderbird. just talk and you can surf the web open and close applications even control your mouse and the entire desktop. you can also dictate edit and navigate more easily in microsoft word outlook express and corel wordperfect than in previous versions. for web browsing dragon naturallyspeaking 9 lets you search the web access information and navigate web pages by speaking urls and links. the dragonbar includes a select and say indicator that turns green when you are in an application or window where all of naturallyspeaking's functionality is supported. seamless editing functionality we all add unnecessary ums and ahs when we speak and the last thing you want is to spend your time editing all those extraneous insertions from your documents. thanks to its built-in nothing but speech (nbs) technology dragon naturallyspeaking 9 filters out inadvertent fillers and sounds between words keeping your document clean. the program's natural punctuation feature means that when you dictate casual writing styles you no longer have to say period and comma. so why type your emails or fiddle with your mouse to surf the web when you can more easily and quickly use your voice?,nuance communications inc.,99.99
