idGoogleBase,name,description,manufacturer,price
http://www.google.com/base/feeds/snippets/18355044473505180786,sudoku puzzle addict: unlimited edition (win 98 me 2000 xp) from global software publ na,a2960jcw millions of people buy newspapers for the daily sudoku puzzle a new addictive ritual as necessary a routine as that morning jolt of coffee! this program is chocked full of more than 20000 sudoku puzzles format: win 98 me 2000 xp global ...,,7.93
http://www.google.com/base/feeds/snippets/18039361276696190381,me too software 800001 - i copy dvds 2 (win 98 me 2000 xp),me too software 800001 : i copy dvds2 standard edition is the latest procuct from me too software that allows you to make high quality back up copies of any dvd movie. system requirements: windows xp/2000/98/me pentium iii 500 mhz 128 mb ram 10 ...,,43.97
http://www.google.com/base/feeds/snippets/1492097838915695810,onone software inc. ppi-12005 - pro photo essentials plug in suite & iview mediapro 3,onone software inc. ppi-12005 : pro photo essentials includes everything you need to manage and enhance your images in a snap so you can spend more time behind the camera. specifications : manufacturer : onone software manufacturer part number : ...,,450.97
http://www.google.com/base/feeds/snippets/6645838516644564026,ages of empires iii,system requirements: subject to change g4/g5 or intel processor running at 1.4ghz or faster mac os x v10.3.9 or higher 512mb ram 64 mb video card (with support for hardware t & l). 56k dial-up internet access or lan for online play,,45.99
http://www.google.com/base/feeds/snippets/3785999369106891548,punch software 35100 - punch! home design suite professional - complete product - architectural - standard - 1 user(s) - complete product - pc,punch software 35100 : punch! professional home design suite the total home design software solution that lets you plan every detail of your home. 12 programs in one intuitive easy-to-use interface... powerful professional tools to help you design ...,,59.97
http://www.google.com/base/feeds/snippets/12516109834871224117,palo alto software mpd9 - palo alto marketing plan v.9.0 pro - complete product - business planning - 1 user - complete product - standard - pc,palo alto software mpd9 : marketing plan plan pro is the 1 selling marketing planning software providing everything you need to produce a profession marketing plan that gets results. cd-rom enclosed (no cd-rom with download only orders.) system ...,,149.97
http://www.google.com/base/feeds/snippets/14918356353168654855,corel ulead videostudio 11 plus software for win - educational license authoring software,videostudio 11 plus video editing and dvd authoring software for windows - academic license the videostudio 11 plus video editing and dvd authoring software for windows from corel ulead is a great way to get started editing your home movies and ...,,89.95
http://www.google.com/base/feeds/snippets/17834804262117799503,steinberg software halion symphonic orchestra - educational edition,halion symphonic orchestra supports all major formats: vst dxi au + rewire for easy protools integration. a multi-output-capable stand-alone version is also included.,,545.51
http://www.google.com/base/feeds/snippets/4935901327541769811,encore software 10119 - adventure workshop 4th-6th grade 7th edition - win xp,encore software 10119 : four titles come together in a fun-filled education workshop designed just for kids ages eight to twelve. a brilliant addition to your software library. system requirements: windows 98se/me/2000 sp4/xp sp1 (home and pro)¹( ...,,18.97
http://www.google.com/base/feeds/snippets/18395637668335924867,learn2 training for microsoft powerpoint (win 95 98 me nt 2000 xp),over 8000000 sold! used by fortune 500 companies and top government agencies for training learn2 training for microsoft powerpoint will walk you through the process of learning the world's most popular presentation software for pcs. learn2 training ...,,9.99
http://www.google.com/base/feeds/snippets/14693413290856659257,apple software t9163ll/a logic pro 6,1 user standard license complete retail package logic is the most widely used program of its kind in professional music production. it elegantly combines composition notation and audio production facilities in one comprehensive product. and now ...,apple software,809
http://www.google.com/base/feeds/snippets/2209370345378693785,punch software professional home design platinum version 10,punch! professional home design suite platinum is a special two-for-one package loaded with incredible capabilities. you get all of the features of both industry-acclaimed punch! master landscape & home design and punch! professional home design ...,,99.99
http://www.google.com/base/feeds/snippets/4108712449976038856,encore software 11750 - game of life - win 95 98,encore software 11750 : the game of life is better than you remember! features: - animated videos - mini-games - rock-n-roll soundtrack from the 60's to the present - 6 players (internet or lan) system requirements: windows 95/98; pentium 90 mhz cpu ...,,7.69
http://www.google.com/base/feeds/snippets/14641221219676710452,zend studio 5.1 php integrated development environment,zend studio 5 professional delivers the ease-of-use scalability reliability and extensibility that professional developers need: new - directly view and debug your application in zend studio's internal browser with internet explorer integration ...,,249
http://www.google.com/base/feeds/snippets/11114112522015930440,microsoft onenote 2007 (pc),key features: gather and organize notes search efficiently work more effectively synchronize info ...,,99.95
http://www.google.com/base/feeds/snippets/17967569973770560353,school zone interactive flash action addition & subtraction,addition/subtraction flash action transforms flash cards into exciting learning games. children compete against the clock or another player as they play for speed and accuracy. system requirements: pc: microsoft® windows 95/98 o,,8.8
http://www.google.com/base/feeds/snippets/8056776198231015744,phase one capture one le,camera support for capture one le: canon 1ds mkii / 1d mkii / 1d mkii n /1ds / 1d / 5d / 20d / 10d / 300d / 350d / d60 / d30 / pro 1 / g6 / g5 / g3 / g2 konica minolta alpha 7 d / maxxum 7 d / dynax 7 d / alpha 5 d / maxxum 5 d / dynax 5 d / a1 / a2 ...,,76.99
http://www.google.com/base/feeds/snippets/11567429261409321598,lavasoft ad-aware plus edition,more powerful... ad-aware plus edition offers you all the power of the personal edition but has been enhanced with additional powerful features to protect your privacy. ad-watch the plus edition includes real-time protection through the ad-watch ...,,24.9
http://www.google.com/base/feeds/snippets/18371601730045221642,phillip keveren - 501056 - hollywood volume 1,1. arthur's theme 2. axel f 3. love theme ?out of africa? 4. raiders march 5. the way he makes me feel 6. somewhere out there 7. cantina band 8. princess leia's theme 9. against all odds 10. can you read my mind 11. the windmills of your mind/,,23.59
http://www.google.com/base/feeds/snippets/7403657268074522339,corel ulead videostudio 11 video editing and dvd authoring software for windows authoring software,videostudio 11 video editing and dvd authoring software for windows special offer the videostudio 11 video editing and dvd authoring software for windows from corel ulead is a great way to get started editing your home movies and burning them onto ...,,89.95
http://www.google.com/base/feeds/snippets/17614065814468597783,sos aggregation company web graphics creator - laughingbird software,,,31.26
http://www.google.com/base/feeds/snippets/3360196621571367222,cyberchase adventures by brighter minds,macintosh minimum system requirements: os 8.6 - 9.2.2 200mhz powerpc 64mb free ram 20mb free hard drive space 4x cd-rom drive 16-bit color video mouse or other pointing device quicktime 5 to 6.5,,19.99
http://www.google.com/base/feeds/snippets/7446817695346465267,steinberg sequel music software music production software,sequel - music creation and performance software - mac os x and windows xp/vista sequel from steinberg is an affordable and easy-to-use solution for music creation and performance designed for the first-time computer music user. as an introduction ...,,99.99
http://www.google.com/base/feeds/snippets/18304611545439824631,mike garson mike garson - jazzical suite,mike garson is an extraordinary pianist and composer who has collaborated with such jazz greats as chick corea stanley clarke and freddie hubbard. he recently performed on tour with david bowie. 1. jazzical suite 2. longings 3. it could happen to,,25.77
http://www.google.com/base/feeds/snippets/7739419455751524618,microsoft windows xp pro sp2 retail,,,299.99
http://www.google.com/base/feeds/snippets/12949835105262366018,qb credit card kit 3.0,quickbooks credit card kit v3.0 (2007),intuit,25.99
http://www.google.com/base/feeds/snippets/14425804478665246948,encore software 2137421 - printshop business card maker (win 98 me 2000 xp),encore software 2137421 : select from a ready-made project or start from scratch. customize your creation with a wide variety of fonts colors and images. the perfect collection of high-quality graphics and projects help you get your message across ...,,8.64
http://www.google.com/base/feeds/snippets/10911853136488554482,imsi turbocad designer 11,lets even the most novice computer user design like a pro. use the interactive tutorials and start creating impressive 2d sketches and precision technical drawings and more. whether your a beginner casual designer or a design enthusiast this ...,,12.9
http://www.google.com/base/feeds/snippets/18385266399097496621,iremember 2.0 - intriguing development,turn digital photos into memories with iremember. easily create stunning scrapbooks your family will treasure for a lifetime. use templates to create a page in minutes! drag and drop pictures from iphoto? crop resize and arrange them on your ...,,32.99
http://www.google.com/base/feeds/snippets/9070775827291844765,global software a1055 i love the usa,i love the usa get packed! you're needed for a secret mission. and you'll track down clues from coast to coast to solve the mystery. along the way you'll relive the rich history of the east coast. whoop it up in the rollicking midwest. or explore ...,global software,11.99
http://www.google.com/base/feeds/snippets/12831181740691949409,intuit quicken deluxe 2007 software for windows tax & finance software,quicken deluxe 2007 software for windows the quicken deluxe 2007 software for windows from intuit is a software package that is designed to help you track your personal finances. it allows you to create a budget schedule bill payments verify ...,,54.95
http://www.google.com/base/feeds/snippets/1695089910833084773,my first bible stories (jc),brings seven of the best-loved stories from the bible to life,,9.9
http://www.google.com/base/feeds/snippets/12024241460287341882,instant architect design suite (00ids510cc),instant architect design suite brand: imsi design mpn: 00ids510cc variant name: instant architect design suite,,28.79
http://www.google.com/base/feeds/snippets/534612205120966482,sony media software acid pro 6 software upgrade from acid pro 5 music production software,acid pro 6 loop based music production software for windows - upgrade for owners of acid pro 5 acid pro 6 from sony media software is a loop-based music creation tool that allows for the production of original royalty-free music. songs can be ...,,129.95
http://www.google.com/base/feeds/snippets/16448745536109976455,corel intervideo windvd 8 platinum software for windows authoring software,windvd 8 platinum software for windows the windvd 8 platinum software for windows from corel intervideo is a dvd video playback application for windows. the software leverages computer technologies such as dual-core processors and nvidia pure video ...,,69.95
http://www.google.com/base/feeds/snippets/13659935621775890962,adobe photoshop cs3 (mac os x v.10.4.8),create powerful images with the professional standardadobe® photoshop® cs3 software accelerates your path from imagination to imagery. ideal for photographers graphic designers and web designers the professional standard delivers new features ...,,649
http://www.google.com/base/feeds/snippets/7062936722155279808,apple software t9164ll/a logic express 6,logic express offers the same flexibility reliability ease of use and precision as its big brother logic pro 6 but at a price point that fits the budget of aspiring pros students and hobbyists give your ideas creative freedom with logic ...,apple software,219
http://www.google.com/base/feeds/snippets/1327096272598550732,apple remote desktop 3 - unlimited client edition - mac apple & mac software,remote desktop 3 - complete desktop management software - unlimited client edition - mac the remote desktop 3 desktop management software from apple is a desktop management solution for apple computers running mac os x. it allows you to connect to a ...,,498.95
http://www.google.com/base/feeds/snippets/4468026794504477734,sp linux we 50 lic/cd 3.0c,,,69216.95
http://www.google.com/base/feeds/snippets/13871525141591734359,destineer railroad tycoon 3,system requirements: macintosh computer running osx v10.2.8 or higher 400mhz or faster processo 256mb ram 32mb or higher (nvidia geforce 2/ati radeon recommended) video card 1.2gb free hard drive space 8x cd-rom drive local area network with tcp/ip ...,,21.99
http://www.google.com/base/feeds/snippets/3306668805908280679,webroot software 65210 spy sweeper 3 pc,spy sweeper 4.5 with the most advanced blocking detection and removal capabilities on the market. today's spyware is far more harmful than ever before placing personal information privacy and perhaps even your identity at risk.dedicated to ...,webroot software,31.99
http://www.google.com/base/feeds/snippets/17962667015870936885,topics entertainment instant immersion german 2.0,business trip to berlin? holiday in hamburg? from munich to munster now you can join the conversation with instant immersion german v2.0 the dynamic 5-disc language learning system on cd-rom. system requirements: pc: windows 98,,17.55
http://www.google.com/base/feeds/snippets/14783944613059032198,steinberg cubase 4 software music production software,cubase 4 - multi-track audio/midi recorder/editor software for mac os x and windows xp special offer cubase 4 from steinberg is a native music production system combining full-featured audio and midi recording and editing virtual instruments and ...,,799.99
http://www.google.com/base/feeds/snippets/9426718267663314434,adobe illustrator cs3 upgrade for mac,system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 512mb ram (1gb recommended) 2.5gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card dvd-rom drive ...,,206.99
http://www.google.com/base/feeds/snippets/17390440905927321212,make finale allegro software music production software,finale allegro music notation software for performing musicians - mac os x and windows finale allegro is notation software that is easy fast and powerful to use perfect for educators performing musicians composers arrangers worship directors and ...,,164.95
http://www.google.com/base/feeds/snippets/15423446152280840126,laughingbird the flash ad creator,,,34.99
http://www.google.com/base/feeds/snippets/17077922689318325801,viva media llc learn to play chess with fritz & chesster,king for a day! fritz is in charge of the castle when his parents go on vacation. it's every kid's dream until the dastardly king black challenges the young stand-in king to a duel! explore the kingdom and discover 7 arcade-style games that explai,,26.14
http://www.google.com/base/feeds/snippets/18427191929555331953,internet security suite 2007 home protection pack xl box,total internet protection,,61.06
http://www.google.com/base/feeds/snippets/11816902045207686274,family tree maker version 16 deluxe (10870),family tree maker version 16 deluxe brand: encore mpn: 10870 variant name: family tree maker version 16 deluxe,,57.59
http://www.google.com/base/feeds/snippets/3846293022585027470,intuit quicken basic 2007 software for windows tax & finance software,quicken basic 2007 software for windows the quicken basic 2007 software for windows from intuit is a software package that is designed to help you track your personal finances. it allows you to create a budget schedule bill payments verify accuracy ...,,29.95
http://www.google.com/base/feeds/snippets/17967900865986277130,encore inc family tree maker version 16 collectors edition,with family tree maker version 16 (collector's edition) you can access more than 5 billion records through ancestry.com as you research your family's history. the best-selling genealogy program for 15 straight years family tree maker lets you ac,,85.07
http://www.google.com/base/feeds/snippets/18304228419567401310,sos aggregation company panda antivirus + firewall 2008 3-user,,,31.53
http://www.google.com/base/feeds/snippets/18441188461196475272,sage (ptree) - vernfp2007rt - premium accounting for nonprofits 2007,if you're like most nonprofit organizations you're constantly striving to maximize each and every dollar of your annual operating budget. peachtree premium accounting for nonprofits 2007 is the affordable easy to use accounting solution that pro,,590.35
http://www.google.com/base/feeds/snippets/15812045656958608251,corel corel word perfect office 12 upgrade,super fast shipping - platinum reseller ratings - over 12 years in business wordperfect office 12 is a feature-rich compatible office productivity suite that offers powerful functionality at a competitive price. complete with word processing ...,,49.99
http://www.google.com/base/feeds/snippets/17546591632033422235,delorme mapping street atlas usa 2007 plus dvd xx,import edit and display your vital contactmanager data get over 140 million us and canadianresidential and business phone listings free print large-format wall maps all the features and capabilities found instandard version,,53.37
http://www.google.com/base/feeds/snippets/16073556725854260285,allume anime studio pro,mac os x v10.3.9+ (universal binary) (mac os x v10.4+ recommended) powerpc g5/g4 processor 500mhz or above (intel processor recommended) 256 mb ram minimum 50 mb free hard disk space (300 mb free hard disk space for anime studio pro) 16-bit color ...,,179.99
http://www.google.com/base/feeds/snippets/17737819843616715912,nuance communications inc. dragon ns standard v9,dragon naturallyspeaking 9 allows people to perform nearly any computing task by speaking with their pc. this innovative software supports almost all windows applications and instantly turns the natural voice into text or commands at speeds up to ...,,92.51
http://www.google.com/base/feeds/snippets/17215854618313178923,microspot x-rip large format print driver for os x,system requirements: operating system: mac osx 10.2 or higher processor: power mac g3 with 450mhz or higher memory (ram): 128 mb free hard disk space: 520mb connection methods: tcp/ip network (jet direct/app socket) direct usb usb parallel converter ...,,335.99
http://www.google.com/base/feeds/snippets/16952776452110398384,palo alto software business plan pro 2007,business plan pro 2007 is the 1 selling business planning software providing everything you need to produce a profession business plan that gets results. system requirements: cd-rom enclosed (no cd-rom with download only ord,,88.83
http://www.google.com/base/feeds/snippets/18234349657423202538,destineer publishing coporation starship troopers/first to fight bundle,system requirements: minimum: windows xp (sp2) 2.0 ghz cpu 512 mb ram 128 bm video card with hardware vertex and pixel shaders 4 gb free hard drive space directx 9.0c compatible sound card directx9. recommend,,15.08
http://www.google.com/base/feeds/snippets/18405745276041721942,britannica deluxe 2008,designed for adults & students alike encyclopaedia britannica deluxe is a comprehensive reference resource that gives you up-to-date in-depth & easy-to-use information. learn from nobel laureates historians & noted experts in one fun & single ...,,26.5
http://www.google.com/base/feeds/snippets/825708128584676723,summit soft macbackup mac os x macxware,system requirements mac os x 10.2.6 or higher 128 mb ram 800 x 600 pixel resolution cd or dvd writable drive 20mb for program installation,,29.99
http://www.google.com/base/feeds/snippets/18384136689746651786,mom standard ops mgmt lic 2005 english mlp 5 oml,mom standard ops mgmt lic 2005 english mlp 5 oml,,889.99
http://www.google.com/base/feeds/snippets/17512159947329144136,valusoft tune transfer for ipod,system requirements: (works with ipod and ipod shuffle) macintosh requirements: ? system os x (10.1.5) or higher ? g3 400 mhz processor ? 128 mb ram ? 100 mb free hd space ? cd-rom drive ? working usb 2.0 or firewire connection to ipod pc ...,,21.99
http://www.google.com/base/feeds/snippets/14837029540644805566,agatha christie and then there were none e (pc) tha christi,super fast shipping - platinum reseller ratings - over 12 years in business,,7.99
http://www.google.com/base/feeds/snippets/2233807276870300519,iris readiris pro 11 mac ocr,system requirements os: g3 processor. mac os x 10.3 or higher scanner compatibility: all twain compatible scanners hd space : 110 mb free ram: 32 mb free,,109.99
http://www.google.com/base/feeds/snippets/18425416409544307946,encore 10025 hoyle card games for pc,deal yourself in! hoyle card games offers 18 of your favorite card games complete with tutorials for minutes or hours of fun. features: ^^ features multiple computer-controlled opponents adjustable skill levels and 18 classic games ^^ create your ...,encore,10
http://www.google.com/base/feeds/snippets/16793437722628106463,vivendi-universal games inc freestyle street basketball,the ball's in your court! get dressed hook up the tunes and head to the pick-up game of your dreams. freestyle street basketball? is a fast-paced online basketball game where players meet on virtual courts to challenge each other,,18.48
http://www.google.com/base/feeds/snippets/18190434268931466210,encore inc registry mechanic,how smooth does your computer run? registry mechanic will safely scan clean repair and optimize the windows registry with a few simple mouse clicks. system requirements: windows® 98se/me/2000 sp4/xp (home and pro) sp1³ p,,25.49
http://www.google.com/base/feeds/snippets/12729065138733783657,american sign language,as the third most commonly used language in the united states american sign language is the fastest growing form of communication. instant immersion american sign language is the quick and easy way many beginners learn how to sign. based on the ...,,10.57
http://www.google.com/base/feeds/snippets/2838840999646798655,apple garageband jam pack: remix tools,system requirements requires garageband (installed with ilife '04 or '05)* logic express 7 or logic pro 7. soundtrack supports loops only in jam packs. macintosh computer with g3 600mhz processor or higher to use apple loops (g4 or g5 required for ...,,95.99
http://www.google.com/base/feeds/snippets/18419564278412211145,dramatica pro 4 for pc,for pc media format cd dramatica pro acts as your creative-writing partner. helps you solve the plots & character problems that prevent good stories from being sold assists you from the initial idea all the way through to the completed narrative ...,,249.99
http://www.google.com/base/feeds/snippets/17501987182659378619,simply magazine sales skills,sales skills provides key information about how to sell with extensive video role playing examples and instruction. system requirements: windows 95 98 or nt 4.0 with a pentium processor 16 mb available ram 15 mb available hard drive space cd,,3.1
http://www.google.com/base/feeds/snippets/17846711186532338786,simply put software llc mozy 3.0,mozy remote backup is a simple automatic and secure way of backing up your important files to a secure offsite facility including: digital music digital photos email financial files and more and recovering them via an internet connection. inc,,43.3
http://www.google.com/base/feeds/snippets/11711275868800545948,pokemon team turbo,challenge your pokemon knowledge in five exciting games each with multiple skill levels to earn racing power-ups. then use these turbo boosts at just the right time on six tough race courses to cross the finish line first.,,7.95
http://www.google.com/base/feeds/snippets/17326098494894452732,make finale 2007 software music production software,finale 2007 - professional notation and score publishing software for mac os x and windows 2000/xp for the professional composer or music publisher producing and outputting music scores and instrumental parts finale 2007 from makemusic is the ...,,429.95
http://www.google.com/base/feeds/snippets/17956249157120493393,intuit inc quickbooks premier edition 2007 5 user,quickbooks: premier edition 2007 offers industry-specific and business planning tools tailored to your business type along with saving you time on routine accounting tasks premier makes it simple to monitor business performance build forecasts and ...,,1309.31
http://www.google.com/base/feeds/snippets/10206096308013781162,punch software 38100 punch! super home suite (small box),our bestselling premium home design software with professional yet easy-to-use features! punch! super home suite - 7 powerful programs in one that launch from the same interface! punch super suite includes: 3d home design 3d landscaping estimating ...,punch software,45.99
http://www.google.com/base/feeds/snippets/2460101921085498175,omni web 5.0,sure you can use a standard web browser with standard features. but you didn't choose a standard software experience - you chose the mac. why not try a browser built just for discriminating people with fabulous taste like yourself? omniweb5 ...,,23.99
http://www.google.com/base/feeds/snippets/8175198959985911471,topics presents: museums of world,5 cd-rom set. step behind the velvet rope to examine some of the most treasured collections of antiquities art and inventions. includes the following the louvre - virtual visit 25 rooms in full screen interactive video detailed map of the louvre ...,,12.9
http://www.google.com/base/feeds/snippets/10092468528845066077,microsoft office 2004 for students and teachers (mac),key features: for mac for student and teachers full-featured programs word processing spreadsheets create presentations...,,134.99
http://www.google.com/base/feeds/snippets/17491282253363994324,individual software professor teaches windows xp,professor teaches windows xp is the complete multimedia training program for the popular microsoft windows xp home edition and windows xp professional -- plus bonus training for digital media home & small office networking and internet ...,,19.99
http://www.google.com/base/feeds/snippets/18277858650749573891,csdc power translator 11 premium - language engineering company,from the creator of the world?s leading translation technology translate 21 languages. translate text files blogs email web pages search items instant messages and chats. translate from any program effortlessly! </,,64.25
http://www.google.com/base/feeds/snippets/18428750969726461849,singing coach unlimited - electronic learning products,learn to sing with the help of a patented real-time pitch recognition technology. twenty lesson tutorial. see your voice on screen. microphone headset included. compose mode. imports midi's. requirements: pentium ii 400 mhz 128 mb memory video ...,,82.5
http://www.google.com/base/feeds/snippets/9675508034468866052,poetry fiction and drama (win/mac) (jewel case) (10172),poetry fiction and drama (win/mac) (jewel case) brand: fogware publishing mpn: 10172 variant name: poetry fiction and drama (win/mac) (jewel case),,9.59
http://www.google.com/base/feeds/snippets/17784299186975876292,microsoft office 2004 standard,system requirements: g3 mac os x-compatible processor or higher mac os x version 10.2.8 or later 256 mb of ram 450 mb of available hard-disk space for a recommended install of office; 630 mb for a full drag-and-drop install of office cd-rom drive,,369.99
http://www.google.com/base/feeds/snippets/1872945109493928217,apple final cut studio 2 production suite for mac av production software,final cut studio 2 production software suite for mac - final cut pro 6 motion 3 soundtrack pro 2 color compressor 3 dvd studio pro 4 special offer the final cut studio 2 production software suite for mac from apple is the premiere professional suite ...,,1298.95
http://www.google.com/base/feeds/snippets/779838933309218814,feral interactive the movies,minimum system requirements (macintosh) mac os 10.3 'panther' powerpc g4 1 ghz 256 mb ram hardware accelerated 3d graphics card with 32 mb vram dvd drive 3 gb free hard disk space. mouse and keyboard recommended system requirements (macintosh) mac ...,,47.99
http://www.google.com/base/feeds/snippets/18367097829354438075,computer associates mdlweb99000352 model web publisher 3.52,model web publisher 3.52 model web publisher for windows nt 95 98 version 3.52,computer associates,835.99
http://www.google.com/base/feeds/snippets/17149948893700452737,encore inc 3d home architect landscape designer v 8.0,3d home architect® landscape design version 8 is packed with powerful design capabilities to bring your landscaping goals within reach. system requirements: windows® 98se/me/2000 sp4/xp (home and professional) sp2²; 500mhz or higher pr,,25.49
http://www.google.com/base/feeds/snippets/18409154395025279191,adobe 09951404 solution expert annu all,solution expert annu all 09951404 adobe,adobe,233.99
http://www.google.com/base/feeds/snippets/11409582066977374017,learning quickbooks (pc) intuit,key features: get information work efficiently gain confidence for windows 2000/xp/vista ...,,39.99
http://www.google.com/base/feeds/snippets/14235968984166622494,enfocus software pp7.0-sg-001 - pitstop pro 7.0,enfocus software pp7.0-sg-001 : enfocus software pitstop pro 7.0 - pp7.0-sg-001,,558.97
http://www.google.com/base/feeds/snippets/4282890852330556387,rollercoaster tycoon 3 soaked,system requirements mac os x v10.4.8 1.0ghz or faster powerpc g4 or g5 or intel core duo processor (1.2ghz recommended) 256mb ram (512mb recommended) 400mb free hard-disk space video card: ati radeon 9000 or nvidia geforce fx5200 video chipset: ...,,23.99
http://www.google.com/base/feeds/snippets/1081494753292983123,global software a8641jch - dk smart steps first grade - win 95 98 me 2000 xp vista,global software a8641jch : enroll your first grader in the program with more of everything: smart steps. developed by dedicated educators smart steps covers the complete first grade core curriculum - along with lots of creative activities - to help ...,,9.08
http://www.google.com/base/feeds/snippets/3077454195131808819,world book 2006,overview with over 87 years of experience and a global reputation for unsurpassed excellence world book 2006 is firmly established as the premier reference source for students parents teachers and librarians. now the 1 name in reliability and ...,,17.9
http://www.google.com/base/feeds/snippets/18379664802687261824,corel corporation ptr9engpcma ae painter ix win/mac,corel painter 9 ( now in dvd case) unleashes your creative power increases your productivity and enhances your compatiblity with adobe photoshop.blend paint colors using the mixer design custom brushes with the brush creator and work more ...,,89.99
http://www.google.com/base/feeds/snippets/18391865764441158658,pxl smartscale for mac/win,one image any size.,,159.95
http://www.google.com/base/feeds/snippets/18080236342166120371,imagination international corp live bingo,gone are the days of mom and dad missing their chance at bingo to pull numbers out of a bag! now the whole family can play along with live bingo the only interactive dvd game featuring this classic family activity. let live bingo's exciting sound ...,,10.86
http://www.google.com/base/feeds/snippets/10621416214836586442,punch software 41100 punch! home design architectural series 18,architectural series 18 provides innovative new tools to unleash your design creativity. novice or pro punch! architectural series 18 has the tools and flexibility to have anyone designing a professional-looking home design quickly and easily. a ...,punch software,118.99
http://www.google.com/base/feeds/snippets/9946072379807963307,3d home architect landscape v.8by encore software,3d home architect landscape v.8by encore software,,26.36
http://www.google.com/base/feeds/snippets/17208172489316783816,dreamcatcher interactive 3 great games for guys,this triple threat of action packed games will have you caught up in ferocious dogfights and pulling off amazing aerial acrobatics fighting your way out from behind the iron curtain and commanding a fleet of wwii ships in enemy infested waters. ...,,26.14
