Country,Region,IncomeGroup
Sint Maarten (Dutch part),Latin America & Caribbean,High income
Slovak Republic,Europe & Central Asia,High income
Slovenia,Europe & Central Asia,High income
Solomon Islands,East Asia & Pacific,Lower middle income
Somalia,Sub-Saharan Africa,Low income
South Africa,Sub-Saharan Africa,Upper middle income
South Sudan,Sub-Saharan Africa,Low income
Spain,Europe & Central Asia,High income
Sri Lanka,South Asia,Lower middle income
St. Kitts and Nevis,Latin America & Caribbean,High income
St. Lucia,Latin America & Caribbean,Upper middle income
St. Martin (French part),Latin America & Caribbean,High income
St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income
Sudan,Sub-Saharan Africa,Lower middle income
Suriname,Latin America & Caribbean,Upper middle income
Swaziland,Sub-Saharan Africa,Lower middle income
Sweden,Europe & Central Asia,High income
Switzerland,Europe & Central Asia,High income
Syrian Arab Republic,Middle East & North Africa,Lower middle income
Tajikistan,Europe & Central Asia,Lower middle income
Tanzania,Sub-Saharan Africa,Low income
Thailand,East Asia & Pacific,Upper middle income
Timor-Leste,East Asia & Pacific,Lower middle income
Togo,Sub-Saharan Africa,Low income
Tonga,East Asia & Pacific,Lower middle income
Trinidad and Tobago,Latin America & Caribbean,High income
Tunisia,Middle East & North Africa,Lower middle income
Turkey,Europe & Central Asia,Upper middle income
Turkmenistan,Europe & Central Asia,Upper middle income
Turks and Caicos Islands,Latin America & Caribbean,High income
Tuvalu,East Asia & Pacific,Upper middle income
Uganda,Sub-Saharan Africa,Low income
Ukraine,Europe & Central Asia,Lower middle income
United Arab Emirates,Middle East & North Africa,High income
United Kingdom,Europe & Central Asia,High income
United States,North America,High income
Uruguay,Latin America & Caribbean,High income
Uzbekistan,Europe & Central Asia,Lower middle income
Vanuatu,East Asia & Pacific,Lower middle income
"Venezuela, RB",Latin America & Caribbean,Upper middle income
Vietnam,East Asia & Pacific,Lower middle income
Virgin Islands (U.S.),Latin America & Caribbean,High income
West Bank and Gaza,Middle East & North Africa,Lower middle income
"Yemen, Rep.",Middle East & North Africa,Lower middle income
Zambia,Sub-Saharan Africa,Lower middle income
Zimbabwe,Sub-Saharan Africa,Low income
